;"Factor-1";"Factor-2";"Factor-3";"Factor-4";"Factor-5";"Factor-6";"Factor-7";"Factor-8";"Factor-9";"Factor-10";"Factor-11";"Factor-12"
"6237230";-3.386618E-05;9.12808E-05;6.391122E-06;-2.713047E-05;1.573525E-06;-3.535283E-05;1.172668E-05;-2.611447E-06;-6.620864E-07;-4.273482E-06;5.583486E-06;-3.972313E-06
"6237231";-3.988544E-05;8.276498E-05;-2.505733E-05;-3.726418E-05;6.286473E-06;2.464565E-05;-1.009528E-05;-1.632161E-05;4.546856E-06;5.806076E-06;8.282168E-06;-7.058117E-08
"6237232";-2.986226E-05;4.733462E-05;-6.656373E-06;8.884263E-06;-5.328259E-07;-3.101057E-06;-9.379978E-09;-6.324916E-06;-3.019844E-06;-1.299395E-06;-5.307641E-07;-3.384339E-06
"6237233";-2.784305E-05;2.530934E-05;9.857188E-07;1.12621E-06;2.755255E-06;9.132615E-06;-4.942898E-06;-4.189024E-06;4.559704E-06;-2.933641E-07;-2.004711E-06;-3.260512E-07
"6237235";4.589143E-05;8.314167E-05;-1.01878E-05;6.22655E-06;-1.443582E-05;-1.790071E-05;-2.019895E-06;1.661615E-06;-2.001958E-06;-6.569688E-06;-2.781988E-06;-1.558197E-06
"6237236";-6.313143E-05;-2.016217E-05;-2.002515E-06;7.805349E-06;3.367127E-06;1.645078E-05;2.946006E-07;-5.143253E-06;2.878346E-06;-4.240424E-07;2.911294E-06;-3.599452E-06
"6237237";-2.061522E-05;-5.046976E-06;-6.526002E-06;-8.368341E-06;-1.260299E-05;2.014755E-05;-4.352396E-06;3.221154E-06;2.842459E-06;1.42193E-06;-9.205386E-07;-2.031967E-06
"6237238";-2.027904E-05;2.049269E-05;4.672046E-06;8.487043E-06;-5.692817E-06;7.107114E-06;-2.078369E-06;-3.394968E-06;1.943041E-06;2.080197E-07;-1.676323E-06;-2.103839E-06
"6237239";-1.773373E-05;-7.325925E-06;-6.96087E-06;-5.581873E-06;-1.004069E-05;2.990969E-06;-1.506072E-06;2.007737E-06;7.197257E-06;1.593072E-06;-4.121375E-06;-5.645393E-06
"6237240";-2.053541E-05;1.400321E-05;-6.34838E-07;8.607054E-06;-7.803733E-06;1.505415E-05;-7.836381E-07;-1.875155E-06;3.171901E-06;-1.424173E-06;-1.792359E-06;-1.400257E-06
"6237241";-5.854567E-06;4.392543E-05;-7.742698E-06;1.307742E-05;1.976425E-06;7.425117E-06;5.872449E-09;2.173347E-07;5.922313E-07;-2.963765E-06;-9.619446E-07;-1.519764E-06
"6237242";-8.591492E-06;4.315231E-05;-8.010805E-06;5.261402E-06;3.612394E-06;1.671125E-05;-1.542508E-06;1.907251E-06;1.265323E-07;-6.236318E-07;-7.706512E-08;1.667014E-06
"6237243";7.983618E-06;-3.332045E-05;1.028136E-05;-1.188357E-05;1.400955E-06;-9.109263E-06;4.378755E-07;4.545695E-06;3.059181E-06;2.792422E-06;-6.980616E-06;1.434763E-06
"6237246";-9.889407E-06;5.563018E-05;2.809011E-05;8.519095E-06;2.443918E-05;4.575424E-06;5.127516E-06;-6.771206E-07;-9.748115E-07;2.971607E-06;-6.731613E-07;-1.027434E-06
"6237247";-3.011036E-05;4.986352E-05;2.995251E-05;1.502526E-06;4.517697E-06;1.291864E-05;-1.37349E-06;-8.84119E-06;-3.139214E-07;7.336264E-07;3.937018E-06;7.314965E-07
"6237249";-4.387579E-05;1.440905E-05;-1.049487E-05;-3.06885E-06;1.003767E-05;9.795765E-06;5.015472E-06;7.002201E-07;5.644255E-06;1.518557E-06;3.945628E-07;-6.941734E-06
"6237251";-3.308638E-05;7.846535E-06;-2.149388E-05;5.009003E-06;4.236917E-06;-1.260708E-06;1.134321E-06;2.556146E-06;-2.808531E-06;-2.296271E-06;5.426421E-06;4.171962E-06
"6237254";-2.758497E-05;3.527974E-05;4.487827E-07;1.466449E-06;-1.148398E-05;7.568287E-07;-2.37009E-06;-2.83635E-06;-1.277299E-06;-3.871192E-07;7.654517E-07;1.129697E-06
"6237255";-2.614829E-05;4.070901E-05;2.320975E-06;1.134668E-05;3.278353E-06;2.165262E-05;4.602755E-06;5.596583E-07;2.47071E-06;-2.316955E-06;-2.876704E-07;-4.419776E-06
"6237259";-1.54442E-05;3.91835E-05;-2.24279E-05;-2.175939E-06;5.810096E-06;1.269914E-05;-1.593066E-06;-7.26548E-08;-3.116487E-06;7.625675E-08;-3.073237E-06;-1.633936E-06
"6237260";2.063688E-05;4.647104E-05;-1.229923E-05;-1.190554E-05;1.923218E-05;1.917756E-07;-9.54694E-06;-1.678891E-06;1.969044E-06;-8.699128E-07;-3.707811E-06;-1.724312E-06
"6237261";-2.533531E-05;2.145682E-05;1.527216E-05;-5.047384E-07;4.221083E-06;-2.015711E-06;6.78395E-06;5.005621E-06;3.277835E-06;-8.677048E-07;-4.083967E-06;-7.881591E-07
"6237266";-1.500197E-05;4.27116E-05;7.860502E-07;4.773996E-06;4.131965E-06;2.652269E-07;3.682673E-06;-3.509051E-07;2.099559E-06;-2.820495E-06;-4.692095E-06;-2.707918E-06
"6237267";-6.615298E-05;-5.615441E-05;4.763663E-06;-2.87568E-07;1.849726E-06;7.07271E-06;6.6021E-06;5.029694E-06;2.134926E-06;-7.542847E-07;3.004513E-06;-1.902042E-06
"6237268";6.152557E-06;3.871555E-05;-1.375257E-05;4.617548E-06;9.383016E-06;8.287789E-06;1.888437E-06;6.475549E-06;1.827738E-06;-1.762643E-06;-2.533952E-06;-2.750224E-06
"6237269";-4.732148E-05;2.341685E-05;-1.202402E-05;-1.95277E-06;-1.97447E-06;3.491979E-06;5.151324E-06;4.218003E-08;5.77678E-07;-1.645759E-07;3.127866E-06;-1.983766E-06
"6237270";-2.364471E-05;-2.537429E-05;2.721231E-05;6.451773E-06;2.536403E-06;-5.752776E-07;-2.451585E-06;-2.046591E-06;1.525319E-06;4.349967E-07;-2.836259E-06;-1.020706E-06
"6237272";-5.3989E-06;2.348609E-05;1.207173E-05;-1.086155E-05;5.603023E-06;-7.304674E-06;-1.224039E-06;5.645869E-06;1.115674E-06;7.551947E-08;-4.276333E-06;3.627198E-06
"6237273";-2.707088E-05;6.756648E-05;-1.118339E-05;-2.77826E-06;3.893828E-06;1.144308E-05;-2.679448E-06;-7.447029E-06;2.108881E-06;-2.343861E-06;-1.090225E-06;-1.594526E-06
"6237274";-2.389294E-05;0.0001071209;4.471872E-06;-1.54437E-05;6.526895E-06;-1.450242E-06;-4.743802E-06;-1.060258E-05;1.061551E-07;6.777197E-07;7.111509E-06;1.545114E-06
"6237275";-2.737725E-05;-1.935701E-05;-1.254483E-05;1.33399E-06;7.542018E-06;4.026336E-06;-1.031425E-05;-6.316237E-07;7.860029E-07;1.641438E-07;1.278651E-07;2.977582E-06
"6237276";-5.992442E-05;1.756647E-05;2.250855E-06;-5.9835E-06;-1.241618E-05;-1.182698E-06;8.780439E-06;-2.856993E-06;-1.284673E-06;-7.388034E-07;5.143555E-06;3.967194E-06
"6237277";-2.481414E-05;6.872667E-05;1.26131E-05;-2.918916E-06;-1.158041E-05;6.663639E-06;4.96234E-06;-3.886297E-06;-8.567358E-07;-1.311594E-06;1.027345E-06;1.068661E-06
"6237278";-4.431402E-05;2.109858E-05;1.437416E-05;-2.410908E-07;-8.84186E-06;-2.542215E-06;6.110428E-06;-6.290477E-06;8.337809E-07;-1.713114E-06;-1.803931E-06;-1.107788E-06
"6237279";-3.595319E-05;5.617867E-05;4.187928E-06;8.028778E-08;-6.002817E-07;7.976282E-06;9.756041E-06;-1.586149E-06;5.908893E-06;-1.080315E-07;-1.162791E-06;-8.832238E-07
"6237280";-5.052696E-05;-5.556024E-06;-5.578677E-06;-6.827391E-06;-1.07179E-05;-2.097055E-06;2.757994E-06;-3.676875E-07;-1.300676E-06;-6.054843E-07;8.866153E-07;-2.595642E-07
"6237281";-3.174034E-05;0.0001084349;5.850401E-06;4.447771E-06;7.989726E-06;-4.495207E-06;1.219728E-05;-4.627951E-06;-1.179977E-06;-4.975711E-06;6.723395E-06;-4.037175E-06
"6237283";-2.570535E-05;3.398712E-05;-3.819907E-06;1.331214E-05;2.235207E-05;7.96215E-06;-3.270957E-06;-2.772856E-06;1.215382E-06;-1.295698E-06;5.856769E-06;4.540339E-06
"6237285";-6.595745E-05;-4.797665E-06;5.060702E-06;1.893983E-05;1.191105E-05;6.945711E-06;1.080266E-05;-2.148829E-06;3.777945E-06;2.374863E-07;3.889245E-06;-7.357781E-07
"6237286";-1.332756E-05;-4.047629E-06;8.210925E-06;2.723754E-06;3.761944E-07;-9.779934E-08;-5.861282E-06;1.01653E-06;2.838019E-06;2.289407E-06;-3.629312E-06;2.876876E-06
"6237287";-1.201579E-05;-3.332991E-06;6.256468E-06;2.605847E-06;-1.321841E-06;1.536121E-07;-4.764993E-06;1.055594E-06;2.34273E-06;2.859527E-06;-2.917995E-06;2.852449E-06
"6237289";1.606385E-05;8.672836E-06;8.426837E-06;6.030208E-06;1.049466E-05;1.002694E-05;6.008811E-06;7.136957E-06;-6.935448E-07;2.961653E-07;-3.352579E-06;1.688643E-06
"6237291";2.237151E-05;4.014363E-06;1.462522E-05;1.511993E-05;6.903982E-06;7.784247E-06;-1.67903E-06;4.721983E-07;-1.950825E-06;5.538353E-07;-3.161152E-06;6.850377E-06
"6237292";-2.654209E-05;4.577879E-05;-5.967886E-06;-8.138076E-07;-1.070984E-05;-1.170867E-05;2.900283E-06;-5.545642E-06;-2.710551E-06;-9.875023E-07;-2.210257E-07;2.196688E-06
"6237293";-1.661301E-05;3.687015E-05;1.296719E-05;4.258362E-06;5.944413E-06;-3.140618E-06;2.152982E-06;3.753486E-06;-2.6412E-06;1.677644E-06;1.076022E-08;5.383857E-06
"6237295";-3.662813E-05;-5.753591E-05;1.122535E-05;-4.853817E-06;3.113277E-06;1.374278E-06;4.664618E-06;5.45334E-06;2.110808E-06;2.349416E-06;5.531332E-08;1.403643E-06
"6237296";-1.300413E-05;-6.654094E-06;3.570985E-07;-2.066483E-06;-6.800426E-06;-6.506338E-06;-3.801888E-06;-8.041135E-07;2.931343E-07;1.654172E-06;-3.295168E-06;8.423139E-07
"6237297";-4.273689E-05;-7.173286E-06;2.006852E-05;7.302399E-06;-9.234313E-06;1.857392E-06;2.995605E-06;-1.668358E-06;1.881518E-06;1.073241E-07;-1.041729E-06;-8.069295E-07
"6237298";-4.21393E-05;-7.424394E-06;1.959631E-05;5.944948E-06;-1.264271E-05;1.022424E-06;3.276464E-06;-1.435455E-06;2.091943E-06;-3.427091E-07;-4.821036E-07;-1.140534E-06
"6237299";4.348072E-06;-2.489659E-05;-7.295754E-06;1.047083E-06;4.364228E-07;1.154779E-05;-4.05219E-06;2.148498E-06;1.587826E-06;6.238302E-07;-6.2766E-06;1.332971E-07
"6237300";-5.893353E-06;-7.234675E-07;-1.097495E-05;4.619869E-06;5.747068E-06;8.934071E-06;-8.31724E-07;-2.723423E-07;4.590558E-06;5.656576E-07;-4.871803E-06;-2.253648E-06
